,X,Y,y_pred,geometry
0,620000.0,1664200.0,0.0,POINT (620000 1664200)
1,646000.0,1628200.0,0.0,POINT (646000 1628200)
2,688000.0,1600200.0,0.0,POINT (688000 1600200)
3,666000.0,1712200.0,0.0,POINT (666000 1712200)
4,722000.0,1524200.0,0.0,POINT (722000 1524200)
5,688000.0,1572200.0,0.0,POINT (688000 1572200)
6,714000.0,1560200.0,1.0,POINT (714000 1560200)
7,628000.0,1588200.0,0.0,POINT (628000 1588200)
8,686000.0,1726200.0,1.0,POINT (686000 1726200)
9,790000.0,1710200.0,0.0,POINT (790000 1710200)
10,618000.0,1618200.0,0.0,POINT (618000 1618200)
11,736000.0,1694200.0,0.0,POINT (736000 1694200)
12,704000.0,1670200.0,0.0,POINT (704000 1670200)
13,610000.0,1642200.0,0.0,POINT (610000 1642200)
14,774000.0,1620200.0,0.0,POINT (774000 1620200)
15,716000.0,1670200.0,0.0,POINT (716000 1670200)
16,702000.0,1560200.0,0.0,POINT (702000 1560200)
17,656000.0,1588200.0,1.0,POINT (656000 1588200)
18,714000.0,1726200.0,0.0,POINT (714000 1726200)
19,778000.0,1710200.0,0.0,POINT (778000 1710200)
20,654000.0,1544200.0,0.0,POINT (654000 1544200)
21,638000.0,1712200.0,0.0,POINT (638000 1712200)
22,710000.0,1524200.0,0.0,POINT (710000 1524200)
23,700000.0,1572200.0,0.0,POINT (700000 1572200)
24,648000.0,1664200.0,0.0,POINT (648000 1664200)
25,634000.0,1628200.0,0.0,POINT (634000 1628200)
26,620000.0,1600200.0,0.0,POINT (620000 1600200)
27,658000.0,1528200.0,0.0,POINT (658000 1528200)
28,618000.0,1556200.0,0.0,POINT (618000 1556200)
29,650000.0,1648200.0,0.0,POINT (650000 1648200)
30,704000.0,1684200.0,0.0,POINT (704000 1684200)
31,668000.0,1694200.0,0.0,POINT (668000 1694200)
32,662000.0,1642200.0,0.0,POINT (662000 1642200)
33,744000.0,1604200.0,0.0,POINT (744000 1604200)
34,686000.0,1722200.0,1.0,POINT (686000 1722200)
35,684000.0,1588200.0,0.0,POINT (684000 1588200)
36,766000.0,1710200.0,0.0,POINT (766000 1710200)
37,772000.0,1604200.0,0.0,POINT (772000 1604200)
38,698000.0,1722200.0,0.0,POINT (698000 1722200)
39,680000.0,1694200.0,0.0,POINT (680000 1694200)
40,634000.0,1642200.0,0.0,POINT (634000 1642200)
41,638000.0,1648200.0,0.0,POINT (638000 1648200)
42,676000.0,1664200.0,1.0,POINT (676000 1664200)
43,732000.0,1684200.0,0.0,POINT (732000 1684200)
44,622000.0,1628200.0,0.0,POINT (622000 1628200)
45,632000.0,1600200.0,0.0,POINT (632000 1600200)
46,630000.0,1528200.0,0.0,POINT (630000 1528200)
47,680000.0,1738200.0,0.0,POINT (680000 1738200)
48,640000.0,1524200.0,0.0,POINT (640000 1524200)
49,676000.0,1556200.0,1.0,POINT (676000 1556200)
50,684000.0,1528200.0,1.0,POINT (684000 1528200)
51,698000.0,1680200.0,0.0,POINT (698000 1680200)
52,752000.0,1722200.0,0.0,POINT (752000 1722200)
53,788000.0,1728200.0,0.0,POINT (788000 1728200)
54,632000.0,1726200.0,0.0,POINT (632000 1726200)
55,656000.0,1614200.0,0.0,POINT (656000 1614200)
56,710000.0,1680200.0,0.0,POINT (710000 1680200)
57,628000.0,1524200.0,0.0,POINT (628000 1524200)
58,692000.0,1738200.0,0.0,POINT (692000 1738200)
59,648000.0,1556200.0,1.0,POINT (648000 1556200)
60,722000.0,1568200.0,0.0,POINT (722000 1568200)
61,766000.0,1680200.0,0.0,POINT (766000 1680200)
62,728000.0,1648200.0,0.0,POINT (728000 1648200)
63,702000.0,1600200.0,0.0,POINT (702000 1600200)
64,666000.0,1568200.0,0.0,POINT (666000 1568200)
65,766000.0,1670200.0,0.0,POINT (766000 1670200)
66,680000.0,1614200.0,1.0,POINT (680000 1614200)
67,750000.0,1694200.0,0.0,POINT (750000 1694200)
68,668000.0,1614200.0,0.0,POINT (668000 1614200)
69,762000.0,1694200.0,0.0,POINT (762000 1694200)
70,660000.0,1726200.0,0.0,POINT (660000 1726200)
71,696000.0,1524200.0,1.0,POINT (696000 1524200)
72,714000.0,1600200.0,1.0,POINT (714000 1600200)
73,694000.0,1568200.0,0.0,POINT (694000 1568200)
74,716000.0,1648200.0,0.0,POINT (716000 1648200)
75,668000.0,1674200.0,1.0,POINT (668000 1674200)
76,766000.0,1624200.0,0.0,POINT (766000 1624200)
77,642000.0,1704200.0,0.0,POINT (642000 1704200)
78,650000.0,1730200.0,0.0,POINT (650000 1730200)
79,664000.0,1584200.0,1.0,POINT (664000 1584200)
80,678000.0,1564200.0,0.0,POINT (678000 1564200)
81,652000.0,1576200.0,0.0,POINT (652000 1576200)
82,626000.0,1552200.0,0.0,POINT (626000 1552200)
83,630000.0,1716200.0,0.0,POINT (630000 1716200)
84,682000.0,1624200.0,1.0,POINT (682000 1624200)
85,656000.0,1660200.0,0.0,POINT (656000 1660200)
86,670000.0,1624200.0,0.0,POINT (670000 1624200)
87,644000.0,1688200.0,1.0,POINT (644000 1688200)
88,684000.0,1660200.0,0.0,POINT (684000 1660200)
89,670000.0,1652200.0,0.0,POINT (670000 1652200)
90,664000.0,1576200.0,1.0,POINT (664000 1576200)
91,786000.0,1718200.0,0.0,POINT (786000 1718200)
92,684000.0,1608200.0,1.0,POINT (684000 1608200)
93,630000.0,1704200.0,0.0,POINT (630000 1704200)
94,678000.0,1730200.0,0.0,POINT (678000 1730200)
95,692000.0,1584200.0,0.0,POINT (692000 1584200)
96,666000.0,1564200.0,0.0,POINT (666000 1564200)
97,680000.0,1674200.0,1.0,POINT (680000 1674200)
98,738000.0,1624200.0,0.0,POINT (738000 1624200)
99,634000.0,1540200.0,0.0,POINT (634000 1540200)
100,708000.0,1608200.0,1.0,POINT (708000 1608200)
101,722000.0,1700200.0,0.0,POINT (722000 1700200)
102,698000.0,1638200.0,0.0,POINT (698000 1638200)
103,656000.0,1674200.0,1.0,POINT (656000 1674200)
104,704000.0,1690200.0,1.0,POINT (704000 1690200)
105,610000.0,1622200.0,0.0,POINT (610000 1622200)
106,668000.0,1688200.0,0.0,POINT (668000 1688200)
107,614000.0,1652200.0,0.0,POINT (614000 1652200)
108,640000.0,1576200.0,0.0,POINT (640000 1576200)
109,658000.0,1716200.0,0.0,POINT (658000 1716200)
110,622000.0,1532200.0,0.0,POINT (622000 1532200)
111,656000.0,1596200.0,1.0,POINT (656000 1596200)
112,668000.0,1596200.0,0.0,POINT (668000 1596200)
113,696000.0,1688200.0,0.0,POINT (696000 1688200)
114,786000.0,1654200.0,0.0,POINT (786000 1654200)
115,670000.0,1638200.0,0.0,POINT (670000 1638200)
116,716000.0,1690200.0,0.0,POINT (716000 1690200)
117,622000.0,1540200.0,0.0,POINT (622000 1540200)
118,736000.0,1608200.0,0.0,POINT (736000 1608200)
119,694000.0,1700200.0,0.0,POINT (694000 1700200)
120,654000.0,1564200.0,1.0,POINT (654000 1564200)
121,760000.0,1732200.0,0.0,POINT (760000 1732200)
122,668000.0,1700200.0,0.0,POINT (668000 1700200)
123,680000.0,1634200.0,0.0,POINT (680000 1634200)
124,718000.0,1656200.0,0.0,POINT (718000 1656200)
125,704000.0,1552200.0,0.0,POINT (704000 1552200)
126,714000.0,1592200.0,1.0,POINT (714000 1592200)
127,708000.0,1734200.0,0.0,POINT (708000 1734200)
128,664000.0,1548200.0,1.0,POINT (664000 1548200)
129,676000.0,1552200.0,1.0,POINT (676000 1552200)
130,742000.0,1592200.0,0.0,POINT (742000 1592200)
131,720000.0,1734200.0,0.0,POINT (720000 1734200)
132,668000.0,1634200.0,0.0,POINT (668000 1634200)
133,788000.0,1732200.0,0.0,POINT (788000 1732200)
134,778000.0,1690200.0,1.0,POINT (778000 1690200)
135,738000.0,1524200.0,0.0,POINT (738000 1524200)
136,640000.0,1700200.0,0.0,POINT (640000 1700200)
137,688000.0,1548200.0,0.0,POINT (688000 1548200)
138,730000.0,1596200.0,0.0,POINT (730000 1596200)
139,696000.0,1734200.0,0.0,POINT (696000 1734200)
140,700000.0,1652200.0,0.0,POINT (700000 1652200)
141,730000.0,1656200.0,0.0,POINT (730000 1656200)
142,688000.0,1652200.0,0.0,POINT (688000 1652200)
143,736000.0,1624200.0,0.0,POINT (736000 1624200)
144,742000.0,1656200.0,0.0,POINT (742000 1656200)
145,676000.0,1548200.0,1.0,POINT (676000 1548200)
146,742000.0,1596200.0,0.0,POINT (742000 1596200)
147,690000.0,1592200.0,0.0,POINT (690000 1592200)
148,612000.0,1700200.0,0.0,POINT (612000 1700200)
149,696000.0,1704200.0,0.0,POINT (696000 1704200)
150,736000.0,1634200.0,0.0,POINT (736000 1634200)
151,790000.0,1690200.0,0.0,POINT (790000 1690200)
152,690000.0,1620200.0,1.0,POINT (690000 1620200)
153,760000.0,1674200.0,0.0,POINT (760000 1674200)
